Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Copinho 1 Bola,70,-2204,"R$ 7,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 15.428,00",672,"R$ 4.704,00","R$ 4.704,00"
Copinho 2 Bolas,71,-3552,"R$ 13,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 46.176,00",987,"R$ 12.831,00","R$ 12.831,00"
Casquinha 1 Bola,72,-1958,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 11.748,00",695,"R$ 4.170,00","R$ 4.170,00"
Casquinha 2 Bolas,73,-473,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 4.730,00",226,"R$ 2.260,00","R$ 2.260,00"
Cascão 1 Bola,74,-1438,"R$ 7,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10.066,00",561,"R$ 3.927,00","R$ 3.927,00"
Cascão 2 Bolas,75,-3301,"R$ 13,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 42.913,00",793,"R$ 10.309,00","R$ 10.309,00"
Cestinha 1 Bola,76,-91,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 728,00",33,"R$ 264,00","R$ 264,00"
Cestinha 2 Bolas,77,-725,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10.875,00",128,"R$ 1.920,00","R$ 1.920,00"
Bolo P - 1kg,78,-258,"R$ 70,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 18.060,00",22,"R$ 1.540,00","R$ 1.540,00"
Bolo G - 2kg,79,-143,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 14.300,00",16,"R$ 1.600,00","R$ 1.600,00"
Coca cola Lata 350ml,1,-557,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.785,00",24,"R$ 120,00","R$ 120,00"
Fanta Laranja,81,-123,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 615,00",35,"R$ 175,00","R$ 175,00"
Guaraná Lata 350mL,82,-200,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.000,00",57,"R$ 285,00","R$ 285,00"
Schweppes Lata 350mL,83,-76,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 380,00",6,"R$ 30,00","R$ 30,00"
Soda Lata 350mL,84,-3,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 15,00",,,
Cobertura Chocolate 300g,85,-188,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.256,00",44,"R$ 528,00","R$ 528,00"
Cobertura Morango 300g,86,-146,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.752,00",45,"R$ 540,00","R$ 540,00"
Cobertura Caramelo 300g,87,-100,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.200,00",18,"R$ 216,00","R$ 216,00"
Unidade Cascão,88,-7738,"R$ 0,70 ","R$ 0,00 ","R$ 0,00 ","-R$ 5.416,60",1447,"R$ 1.012,90","R$ 1.012,90"
Unidade Casquinha,89,-14154,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 4.953,90",3591,"R$ 1.256,85","R$ 1.256,85"
Unidade Cestinha,90,-857,"R$ 0,60 ","R$ 0,00 ","R$ 0,00 ","-R$ 514,20",109,"R$ 65,40","R$ 65,40"
Isopor 12 bolas,91,-192,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.680,00",46,"R$ 1.840,00","R$ 1.840,00"
Isopor 4 bolas,92,-288,"R$ 20,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 5.760,00",104,"R$ 2.080,00","R$ 2.080,00"
Isopor 6 bolas,93,-17,"R$ 17,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 289,00",,,
Isopor 8 bolas,94,-269,"R$ 35,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 9.415,00",62,"R$ 2.170,00","R$ 2.170,00"
Isopor 18 bolas,95,-144,"R$ 50,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.200,00",41,"R$ 2.050,00","R$ 2.050,00"
Sorvete por Peso,96,-29353,"R$ 0,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",12958,"R$ 196.803,57","R$ 196.803,57"
